Id,AvgCalorie,AvgStepTotal,AvgTotalDistance,AvgVeryActiveMinutes,AvgFairlyActiveMinutes,AvgLightlyActiveMinutes
1624580081,1483,5744,4,9,6,153
1644430081,2811,7283,5,10,21,178
2022484408,2510,11371,8,36,19,257
2347167796,2043,9520,6,14,21,253
3977333714,1514,10985,8,19,61,175
4319703577,2038,7269,5,4,12,229
4388161847,3094,10814,8,23,20,229
4702921684,2966,8572,7,5,26,237
5577150313,3360,8304,6,87,30,148
6775888955,2132,2520,2,11,15,40
6962181067,1982,9795,7,23,19,246
7007744171,2544,11323,8,31,16,281
7086361926,2566,9372,6,43,25,144
8253242879,1788,6482,5,21,14,117
8583815059,2732,7199,6,10,22,138
8792009665,1962,1854,1,1,4,92
1844505072,1573,2580,2,0,1,115
1927972279,2173,916,1,1,1,39
2026352035,1541,5567,3,0,0,257
2320127002,1724,4717,3,1,3,198
2873212765,1917,7556,5,14,6,308
3372868164,1933,6862,5,9,4,328
4020332650,2386,2267,2,5,5,77
4057192912,1974,3838,3,1,2,103
4445114986,2186,4797,3,7,2,209
4558609924,2033,7685,5,10,14,285
5553957443,1876,8613,6,23,13,206
6117666160,2261,7047,5,2,2,288
6290855005,2600,5650,4,3,4,227
8053475328,2946,14763,11,85,10,151
8378563200,3437,8718,7,59,10,156
8877689391,3420,16040,13,66,10,235
1503960366,1816,12117,8,39,19,220