Id,AvgCalories,AvgIntensity,AvgStepTotal
8053475328,124,18,622
1644430081,119,11,308
4558609924,86,14,323
4319703577,86,11,289
2320127002,73,9,199
1503960366,79,16,522
8877689391,144,19,674
2347167796,89,15,414
4388161847,128,14,435
6775888955,91,4,107
5553957443,80,13,366
3372868164,82,15,290
7086361926,108,14,392
2873212765,80,15,318
6290855005,113,11,246
5577150313,142,20,351
4445114986,92,10,202
4020332650,101,4,93
6117666160,92,13,281
8378563200,145,15,367
8583815059,111,9,245
2026352035,65,11,234
7007744171,110,18,490
1927972279,92,2,39
2022484408,105,17,478
8792009665,84,4,80
6962181067,84,15,415
4057192912,89,5,174
3977333714,65,15,472
4702921684,126,13,363
1844505072,67,5,109
1624580081,62,8,242
8253242879,78,9,285